,x,y,w,h,frame_id
972,941,404,151,43,300
973,944,260,174,145,301
974,1237,288,159,89,301
975,771,366,108,39,301
976,592,369,114,48,301
977,910,404,174,43,301
978,734,405,180,47,301
979,568,417,174,37,301
980,928,262,176,140,302
981,1217,288,161,93,302
982,746,366,111,48,302
983,539,368,181,85,302
984,712,417,90,35,302
985,906,263,175,143,303
986,1201,288,166,93,303
987,723,367,110,47,303
988,538,368,121,48,303
989,515,416,186,37,303
990,701,418,97,34,303
991,885,264,172,142,304
992,1198,290,153,93,304
993,667,365,179,87,304
994,512,368,124,48,304
995,849,406,163,44,304
996,488,418,182,36,304
997,863,265,180,141,305
998,1190,291,150,96,305
999,486,368,124,48,305
1000,834,405,159,46,305
1001,464,418,99,35,305
1002,841,265,184,140,306
1003,1170,292,150,95,306
1004,648,365,151,50,306
1005,457,368,133,48,306
1006,810,406,161,45,306
1007,605,416,197,37,306
1008,435,418,119,34,306
1009,548,418,73,35,306
1010,816,266,190,140,307
1011,1125,294,173,98,307
1012,624,364,148,52,307
1013,432,368,130,48,307
1014,798,406,156,46,307
1015,596,416,202,37,307
1016,408,417,187,45,307
1017,792,267,200,139,308
1018,1121,292,172,101,308
1019,602,366,148,50,308
1020,400,368,133,49,308
1021,380,417,183,47,308
1022,773,268,199,139,309
1023,1118,293,152,100,309
1024,576,366,151,51,309
1025,373,368,134,47,309
1026,360,415,181,49,309
1027,740,269,216,145,310
1028,1112,296,146,100,310
1029,552,365,147,53,310
1030,361,369,119,47,310
1031,802,408,96,44,310
1032,358,418,154,46,310
1033,715,268,223,147,311
1034,1078,298,165,99,311
1035,528,366,143,50,311
1036,357,370,93,45,311
1037,371,415,124,49,311
1038,1064,298,157,100,312
1039,500,366,156,51,312
1040,356,370,67,44,312
1041,360,418,108,46,312
1042,1058,298,153,101,313
1043,473,366,151,51,313
1044,453,417,112,36,313
1045,234,420,66,38,313
1046,360,420,71,44,313
1047,640,272,236,143,314
1048,1039,300,142,101,314
1049,444,362,128,55,314
1050,227,369,77,46,314
1051,403,417,144,44,314
1052,614,417,185,35,314
1053,546,418,66,35,314
1054,204,420,95,36,314
1055,1016,301,147,99,315
1056,417,366,146,50,315
1057,196,370,107,46,315
1058,390,417,123,45,315
1059,594,417,192,36,315
1060,170,419,130,37,315
1061,990,304,169,96,316
1062,388,364,134,52,316
1063,166,370,130,46,316
1064,362,416,200,48,316
1065,573,417,182,36,316
1066,142,420,159,39,316
1067,989,304,145,97,317
1068,368,364,128,52,317
1069,134,370,147,45,317
1070,359,417,176,47,317
1071,559,417,174,36,317
1072,112,420,188,39,317
1073,959,306,157,96,318
1074,357,364,111,50,318
